字符    出现次数    对应编码
换行符  1           1110011111  
空格    377         000         
,       27          100011      
-       1           01011010001 
.       14          1110010     
A       2           0101101011  
F       1           01011010011 
G       1           01011010000 
I       3           111001110   
M       1           01011010010 
O       1           1110011110  
S       4           010110011   
T       2           1110011010  
W       3           111001100   
Y       2           0101101010  
a       136         0110        
b       22          0011001     
c       36          010100      
d       50          11101       
e       192         110         
f       35          010101      
g       40          001101      
h       83          00111       
i       115         1001        
j       3           010110111   
k       11          01011000    
l       60          10000       
m       33          010111      
n       128         0111        
o       142         0100        
p       25          111000      
q       1           1110011011  
r       88          1111        
s       107         1011        
t       170         0010        
u       56          10100       
v       24          0011000     
w       30          100010      
x       5           010110010   
y       54          10101       
z       4           010110110   
